Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
game_d9b28ade	m	And I thought maybe you could help me...since I know how you like to draw.	game/script.rpy	121	m "[what]"
game_eaa56bc9	m	It'd be hard for me to make a visual novel alone.	game/script.rpy	123	m "[what]"
game_9befd1bf	s	Well, sure! I can try. I just hope I don't disappoint you.	game/script.rpy	127	s "[what]"
game_c788ae90	m	You know you could never disappoint me, Sylvie.	game/script.rpy	129	m "[what]"
book_4221b3bd	m	It's like an interactive book that you can read on a computer or a console.	game/script.rpy	138	m "[what]"
book_4cfd8044	s	Interactive?	game/script.rpy	142	s "[what]"
book_b9c732c8	m	You can make choices that lead to different events and endings in the story.	game/script.rpy	144	m "[what]"
book_1c7ac61a	s	So where does the "visual" part come in?	game/script.rpy	146	s "[what]"
book_763f25a8	m	Visual novels have pictures and even music, sound effects, and sometimes voice acting to go along with the text.	game/script.rpy	148	m "[what]"
book_2277f2aa	s	I see! That certainly sounds like fun. I actually used to make webcomics way back when, so I've got lots of story ideas.	game/script.rpy	152	s "[what]"
book_ccd3e9b0	m	That's great! So...would you be interested in working with me as an artist?	game/script.rpy	154	m "[what]"
book_e325967b	s	I'd love to!	game/script.rpy	156	s "[what]"
marry_4509e340		And so, we become a visual novel creating duo.	game/script.rpy	165	"[what]"
marry_0f82ff7f		Over the years, we make lots of games and have a lot of fun making them.	game/script.rpy	170	"[what]"
marry_08e24a18		Our first game is based on one of Sylvie's ideas, but afterwards I get to come up with stories of my own, too.	game/script.rpy	174	"[what]"
marry_285256a1		We take turns coming up with stories and characters and support each other to make some great games!	game/script.rpy	176	"[what]"
marry_27260f18		And one day...	game/script.rpy	178	"[what]"
marry_bf690666	s	Hey...	game/script.rpy	183	s "[what]"
marry_7a5c1899	m	Yes?	game/script.rpy	185	m "[what]"
marry_3c154e68	s	Will you marry me?	game/script.rpy	189	s "[what]"
marry_8bcbc4b9	m	What? Where did this come from?	game/script.rpy	191	m "[what]"
marry_f913278c	s	Come on, how long have we been dating?	game/script.rpy	195	s "[what]"
marry_4ba892a0	m	A while...	game/script.rpy	197	m "[what]"
marry_39d7f0df	s	These last few years we've been making visual novels together, spending time together, helping each other...	game/script.rpy	201	s "[what]"
marry_1516df50	s	I've gotten to know you and care about you better than anyone else. And I think the same goes for you, right?	game/script.rpy	203	s "[what]"
marry_3234b0ab	m	Sylvie...	game/script.rpy	205	m "[what]"
marry_8179b35b	s	But I know you're the indecisive type. If I held back, who knows when you'd propose?	game/script.rpy	209	s "[what]"
marry_373937d9	s	So will you marry me?	game/script.rpy	213	s "[what]"
marry_857958dc	m	Of course I will! I've actually been meaning to propose, honest!	game/script.rpy	215	m "[what]"
marry_81ed468b	s	I know, I know.	game/script.rpy	217	s "[what]"
marry_1c4ae954	m	I guess... I was too worried about timing. I wanted to ask the right question at the right time.	game/script.rpy	219	m "[what]"
marry_0db38565	s	You worry too much. If only this were a visual novel and I could pick an option to give you more courage!	game/script.rpy	223	s "[what]"
marry_ca27786f		We get married shortly after that.	game/script.rpy	228	"[what]"
marry_621ed4fc		Our visual novel duo lives on even after we're married...and I try my best to be more decisive.	game/script.rpy	230	"[what]"
marry_3c7f0bf0		Together, we live happily ever after even now.	game/script.rpy	232	"[what]"
marry_2ad49007		{b}Good Ending{/b}.	game/script.rpy	234	"[what]"
later_3c679c17		I can't get up the nerve to ask right now. With a gulp, I decide to ask her later.	game/script.rpy	240	"[what]"
later_a77741b6		But I'm an indecisive person.	game/script.rpy	245	"[what]"
later_982e14b6		I couldn't ask her that day and I end up never being able to ask her.	game/script.rpy	247	"[what]"
later_f0f9a061		I guess I'll never know the answer to my question now...	game/script.rpy	249	"[what]"
later_f5219ac2		{b}Bad Ending{/b}.	game/script.rpy	251	"[what]"
